iter	RMSE
0	0.4465785533
1	0.4355674573
2	0.4248051161
3	0.4144040708
4	0.4043754107
5	0.3947353192
6	0.3854814897
7	0.3765239469
8	0.3678960707
9	0.3595758566
10	0.3515618293
11	0.3438906828
12	0.3363914347
13	0.3292463449
14	0.3223910152
15	0.3158276402
16	0.3095058997
17	0.3034127777
18	0.2975331928
19	0.291868116
20	0.2863981383
21	0.2812233649
22	0.276196367
23	0.2713826878
24	0.2667953524
25	0.262415348
26	0.2581654365
27	0.2541520712
28	0.2503299569
29	0.2466142562
30	0.2430850915
31	0.2397046922
32	0.2364930452
33	0.2334205476
34	0.2304898859
35	0.2276936598
36	0.2250331968
37	0.2225046868
38	0.2200725255
39	0.2177913721
40	0.2156122094
41	0.2135276708
42	0.2115486936
43	0.2096925909
44	0.207914229
45	0.2062344664
46	0.2046109979
47	0.2030753237
48	0.201616803
49	0.2002157746
50	0.1989097191
51	0.1976649954
52	0.1964934948
53	0.1953584839
54	0.1942975062
55	0.1932975989
56	0.1923636344
57	0.1914629827
58	0.1906104445
59	0.1897959518
60	0.189033708
61	0.1883095685
62	0.1876201869
63	0.1869766914
64	0.1863659361
65	0.1857945548
66	0.185249428
67	0.1847332306
68	0.1842520592
69	0.1838017214
70	0.1833621771
71	0.1829430351
72	0.1825614337
73	0.1821919828
74	0.1818465945
75	0.1815212961
76	0.181216487
77	0.1809301307
78	0.1806465903
79	0.1803847748
80	0.1801401092
81	0.1799099463
82	0.1796953629
83	0.1794868415
84	0.1792929374
85	0.1791134848
86	0.1789360097
87	0.1787734885
88	0.1786166531
89	0.1784661816
90	0.1783306166
91	0.1782016166
92	0.1780822621
93	0.1779645204
94	0.1778506347
95	0.1777478476
96	0.1776508736
97	0.1775584321
98	0.1774770015
99	0.1773928369
100	0.1773150077
101	0.177237432
102	0.1771686487
103	0.1771045566
104	0.1770417537
105	0.1769843781
106	0.176927472
107	0.176873945
108	0.1768246286
109	0.1767784356
110	0.176733954
111	0.1766920539
112	0.176653338
113	0.1766151413
114	0.1765824583
115	0.1765513708
116	0.1765204921
117	0.1764902999
118	0.1764645645
119	0.1764366512
120	0.176411712
121	0.1763869042
122	0.176366
123	0.1763446541
124	0.1763249538
125	0.1763053811
126	0.1762885349
127	0.1762730186
128	0.1762571323
129	0.176242711
130	0.1762292467
131	0.1762156607
132	0.1761988354
133	0.17618634
134	0.176174422
135	0.1761637887
136	0.1761519428
137	0.1761431226
138	0.1761331139
139	0.1761250857
140	0.1761165441
141	0.1761081083
142	0.1761005553
143	0.1760924531
144	0.176085369
145	0.1760785753
146	0.1760735026
147	0.1760676513
148	0.1760613636
149	0.1760569844
150	0.1760519312
151	0.1760473033
152	0.1760429674
153	0.1760386618
154	0.1760345291
155	0.1760308544
156	0.1760268288
157	0.1760234598
158	0.1760201027
159	0.1760167469
160	0.1760134483
161	0.1760113898
162	0.1760088853
163	0.1760066386
164	0.1760041515
165	0.1760013468
166	0.1759994402
167	0.1759978994
168	0.1759963366
169	0.1759950077
170	0.1759932754
171	0.1759911495
172	0.1759891625
173	0.1759867709
174	0.1759852301
175	0.1759836287
176	0.1759812282
177	0.1759798762
178	0.175977133
179	0.1759762644
180	0.1759752254
181	0.1759743887
182	0.1759715942
183	0.1759705574
184	0.1759693189
185	0.1759679631
186	0.1759669515
187	0.1759662712
188	0.1759653531
189	0.1759645435
190	0.1759634136
191	0.1759630164
192	0.1759623651
193	0.1759621564
194	0.1759612922
195	0.1759607776
196	0.1759593214
197	0.1759583378
198	0.1759578592
199	0.1759567946
200	0.1759556862
201	0.1759549289
202	0.1759542949
203	0.175953885
204	0.1759523065
205	0.1759520822
206	0.1759514628
207	0.1759507263
208	0.1759502703
209	0.1759493958
210	0.175949099
211	0.1759478389
212	0.175947042
213	0.1759464867
214	0.1759460412
215	0.1759453223
216	0.1759441474
217	0.1759433047
218	0.1759415315
219	0.1759401864
220	0.1759396904
221	0.1759393786
222	0.1759382202
223	0.1759374947
224	0.1759372721
