iter	Passed	Remaining
0	8	8047
1	15	7591
2	22	7314
3	29	7252
4	36	7172
5	43	7158
6	51	7258
7	59	7354
8	70	7724
9	77	7712
10	82	7392
11	86	7112
12	90	6885
13	94	6683
14	98	6474
15	103	6358
16	107	6217
17	111	6078
18	115	5968
19	119	5857
20	123	5758
21	127	5672
22	131	5592
23	135	5518
24	139	5451
25	143	5388
26	148	5335
27	152	5295
28	156	5238
29	160	5191
30	164	5142
31	168	5101
32	172	5062
33	176	5023
34	181	5003
35	185	4966
36	189	4933
37	193	4901
38	197	4876
39	202	4849
40	206	4822
41	210	4796
42	214	4768
43	217	4728
44	221	4703
45	225	4681
46	229	4657
47	233	4636
48	237	4601
49	241	4580
50	244	4558
51	249	4540
52	253	4522
53	257	4503
54	261	4487
55	265	4469
56	269	4453
57	273	4438
58	277	4422
59	281	4408
60	285	4395
61	289	4381
62	293	4367
63	297	4355
64	301	4342
65	305	4329
66	310	4318
67	314	4305
68	318	4293
69	321	4264
70	325	4253
71	329	4242
72	333	4232
73	340	4256
74	347	4282
75	354	4306
76	360	4326
77	365	4326
78	369	4313
79	373	4299
80	377	4278
81	381	4268
82	385	4255
83	389	4244
84	393	4232
85	397	4222
86	401	4211
87	405	4201
88	410	4205
89	414	4195
90	418	4184
91	422	4174
92	430	4201
93	437	4218
94	445	4239
95	452	4257
96	460	4285
97	467	4304
98	472	4298
99	479	4312
100	485	4319
101	492	4331
102	498	4344
103	505	4358
104	514	4389
105	522	4408
106	530	4424
107	538	4449
108	544	4449
109	548	4436
110	552	4425
111	556	4413
112	560	4400
113	564	4388
114	568	4376
115	572	4363
116	576	4351
117	580	4338
118	583	4320
119	587	4309
120	590	4292
121	595	4283
122	599	4271
123	603	4260
124	607	4249
125	611	4238
126	615	4229
127	619	4218
128	622	4206
129	626	4195
130	629	4174
131	633	4164
132	637	4153
133	641	4144
134	645	4134
135	649	4124
136	653	4114
137	657	4105
138	661	4096
139	663	4076
140	667	4067
141	671	4057
142	675	4048
143	679	4039
144	683	4029
145	687	4021
146	690	4005
147	694	3996
148	698	3987
149	702	3979
150	706	3971
151	710	3963
152	713	3950
153	717	3942
154	721	3934
155	726	3929
156	730	3920
157	734	3912
158	738	3904
159	742	3896
160	746	3887
161	750	3879
162	754	3871
163	757	3863
164	761	3855
165	765	3847
166	769	3839
167	773	3832
168	776	3818
169	779	3807
170	783	3799
171	787	3792
172	791	3785
173	797	3787
174	805	3796
175	812	3803
176	818	3807
177	825	3811
178	832	3818
179	838	3817
180	844	3823
181	851	3827
182	858	3831
183	865	3838
184	872	3842
185	879	3847
186	885	3850
187	890	3846
188	896	3846
189	901	3843
190	905	3835
191	908	3822
192	912	3814
193	916	3809
194	920	3801
195	925	3794
196	929	3787
197	933	3779
198	937	3772
199	941	3765
200	945	3757
201	949	3750
202	953	3743
203	957	3735
204	961	3729
205	965	3722
206	969	3715
207	973	3707
208	977	3700
209	982	3695
210	986	3687
211	990	3680
212	994	3674
213	998	3667
214	1002	3661
215	1006	3654
216	1010	3646
217	1014	3640
218	1018	3633
219	1023	3628
220	1027	3621
221	1031	3614
222	1035	3607
223	1041	3608
224	1046	3602
225	1049	3595
226	1053	3588
227	1057	3582
228	1061	3575
229	1065	3568
230	1069	3561
231	1073	3554
232	1077	3548
233	1080	3537
234	1084	3530
235	1087	3522
236	1093	3518
237	1097	3512
238	1100	3505
239	1104	3498
240	1108	3489
241	1112	3483
242	1116	3477
243	1120	3470
244	1124	3464
245	1128	3458
246	1132	3451
247	1136	3445
248	1140	3438
249	1143	3431
250	1151	3437
251	1155	3431
252	1161	3429
253	1165	3422
254	1169	3416
255	1173	3410
256	1177	3404
257	1181	3398
258	1185	3391
259	1189	3385
260	1193	3379
261	1197	3373
262	1200	3363
263	1204	3357
264	1206	3346
265	1210	3340
266	1214	3334
267	1218	3328
268	1222	3322
269	1226	3317
270	1230	3310
271	1233	3300
272	1237	3294
273	1239	3285
274	1243	3279
275	1248	3273
276	1251	3267
277	1255	3261
278	1259	3255
279	1263	3249
280	1266	3239
281	1270	3233
282	1274	3228
283	1278	3222
284	1280	3213
285	1284	3207
286	1287	3198
287	1291	3192
288	1295	3186
289	1299	3181
290	1303	3175
291	1307	3169
292	1311	3164
293	1315	3158
294	1319	3152
295	1323	3147
296	1329	3146
297	1337	3149
298	1346	3157
299	1357	3167
300	1368	3177
301	1376	3180
302	1383	3181
303	1390	3183
304	1397	3184
305	1403	3183
306	1410	3184
307	1418	3186
308	1424	3185
309	1429	3181
310	1434	3177
311	1441	3178
312	1444	3169
313	1448	3163
314	1453	3160
315	1458	3157
316	1462	3151
317	1466	3144
318	1472	3144
319	1476	3138
320	1480	3132
321	1486	3129
322	1491	3125
323	1495	3119
324	1499	3114
325	1506	3114
326	1515	3118
327	1520	3115
328	1523	3107
329	1534	3116
330	1548	3130
331	1557	3134
332	1570	3145
333	1577	3146
334	1592	3160
335	1599	3161
336	1607	3163
337	1616	3166
338	1622	3163
339	1628	3160
340	1637	3164
341	1642	3160
342	1652	3164
343	1661	3167
344	1666	3164
345	1670	3158
346	1674	3152
347	1679	3145
348	1682	3139
349	1686	3132
350	1690	3126
351	1694	3120
352	1698	3113
353	1702	3107
354	1705	3099
355	1709	3093
356	1714	3087
357	1718	3081
358	1722	3075
359	1726	3069
360	1730	3063
361	1734	3057
362	1738	3051
363	1742	3044
364	1746	3038
365	1754	3038
366	1761	3037
367	1768	3036
368	1773	3033
369	1776	3025
370	1780	3018
371	1784	3012
372	1788	3007
373	1793	3002
374	1796	2994
375	1800	2988
376	1804	2982
377	1808	2976
378	1812	2970
379	1815	2961
380	1818	2954
381	1821	2946
382	1825	2940
383	1827	2932
384	1832	2926
385	1836	2920
386	1838	2912
387	1842	2906
388	1845	2898
389	1847	2889
390	1852	2885
391	1855	2877
392	1859	2871
393	1862	2864
394	1866	2859
395	1869	2852
396	1873	2846
397	1877	2840
398	1881	2834
399	1885	2827
400	1888	2820
401	1891	2813
402	1895	2807
403	1899	2801
404	1903	2796
405	1905	2788
406	1910	2782
407	1912	2775
408	1916	2769
409	1919	2762
410	1923	2757
411	1926	2749
412	1930	2743
413	1934	2738
414	1938	2732
415	1942	2727
416	1946	2721
417	1950	2715
418	1954	2710
419	1958	2704
420	1962	2699
421	1966	2693
422	1970	2687
423	1975	2683
424	1978	2677
425	1983	2672
426	1985	2664
427	1989	2659
428	1992	2652
429	1997	2648
430	2001	2642
431	2005	2637
432	2009	2631
433	2013	2626
434	2018	2621
435	2020	2614
436	2024	2608
437	2028	2603
438	2032	2597
439	2036	2592
440	2040	2586
441	2044	2580
442	2051	2579
443	2056	2575
444	2063	2573
445	2070	2572
446	2077	2570
447	2084	2568
448	2090	2564
449	2095	2560
450	2100	2556
451	2106	2554
452	2114	2552
453	2121	2551
454	2128	2549
455	2135	2547
456	2138	2541
457	2142	2535
458	2146	2530
459	2151	2525
460	2155	2520
461	2160	2515
462	2164	2509
463	2166	2502
464	2169	2495
465	2173	2490
466	2177	2485
467	2181	2479
468	2184	2472
469	2186	2466
470	2189	2459
471	2193	2453
472	2197	2448
473	2202	2443
474	2204	2436
475	2206	2429
476	2210	2424
477	2214	2418
478	2218	2413
479	2221	2406
480	2225	2401
481	2229	2396
482	2233	2391
483	2237	2385
484	2242	2380
485	2245	2374
486	2249	2369
487	2253	2364
488	2257	2359
489	2261	2353
490	2264	2347
491	2268	2342
492	2272	2337
493	2275	2330
494	2279	2325
495	2283	2319
496	2287	2314
497	2291	2309
498	2295	2304
499	2299	2299
500	2303	2293
501	2305	2287
502	2309	2282
503	2313	2276
504	2317	2271
505	2319	2264
506	2323	2259
507	2327	2254
508	2331	2249
509	2335	2244
510	2339	2239
511	2342	2233
512	2349	2230
513	2356	2227
514	2363	2225
515	2370	2223
516	2374	2218
517	2377	2212
518	2382	2207
519	2387	2203
520	2391	2198
521	2395	2193
522	2399	2188
523	2402	2182
524	2406	2177
525	2409	2171
526	2413	2166
527	2417	2161
528	2421	2156
529	2425	2151
530	2429	2146
531	2433	2140
532	2440	2137
533	2446	2135
534	2453	2132
535	2460	2129
536	2467	2127
537	2472	2123
538	2477	2118
539	2485	2116
540	2494	2116
541	2501	2113
542	2508	2111
543	2513	2107
544	2534	2115
545	2542	2113
546	2549	2111
547	2554	2106
548	2558	2101
549	2562	2096
550	2566	2091
551	2573	2088
552	2577	2083
553	2581	2078
554	2585	2073
555	2589	2068
556	2595	2064
557	2600	2059
558	2604	2054
559	2606	2048
560	2609	2041
561	2612	2036
562	2615	2030
563	2618	2024
564	2621	2018
565	2624	2012
566	2630	2008
567	2635	2004
568	2639	1999
569	2643	1993
570	2647	1988
571	2651	1983
572	2656	1979
573	2660	1974
574	2664	1969
575	2667	1963
576	2671	1958
577	2675	1953
578	2678	1947
579	2682	1942
580	2684	1935
581	2687	1929
582	2691	1924
583	2695	1919
584	2699	1915
585	2703	1909
586	2707	1904
587	2711	1899
588	2715	1894
589	2719	1889
590	2722	1884
591	2726	1879
592	2730	1874
593	2734	1869
594	2738	1864
595	2741	1858
596	2745	1852
597	2749	1848
598	2751	1841
599	2755	1836
600	2759	1831
601	2763	1827
602	2767	1822
603	2771	1816
604	2775	1811
605	2779	1807
606	2783	1802
607	2787	1797
608	2791	1792
609	2793	1786
610	2797	1781
611	2801	1776
612	2805	1771
613	2809	1766
614	2813	1761
615	2817	1756
616	2821	1751
617	2825	1746
618	2829	1741
619	2832	1736
620	2835	1730
621	2838	1724
622	2840	1718
623	2844	1713
624	2848	1708
625	2852	1704
626	2856	1699
627	2860	1694
628	2862	1688
629	2866	1683
630	2869	1677
631	2873	1673
632	2877	1668
633	2881	1663
634	2885	1658
635	2889	1653
636	2893	1648
637	2897	1643
638	2901	1639
639	2905	1634
640	2909	1629
641	2913	1624
642	2917	1619
643	2920	1614
644	2924	1609
645	2928	1604
646	2932	1599
