,T,Po,P,U,DD,Ff,ff3,Td,Measured & upscaled [MW],Monitored Capacity [MW],power
2015-01-01 22:00:00,4.7,768.3,769.2,79.0,11.0,11.0,17.0,1.3,447.07,513.0800000000003,0.8713455991268414
2015-01-01 23:00:00,4.8,767.5,768.4,81.0,11.0,11.0,18.0,1.7,440.48,513.0800000000003,0.8585015981913148
2015-01-02 00:00:00,3.7,738.8,739.7,95.0,10.0,10.0,15.0,3.0,441.03,513.0800000000003,0.8595735557807744
2015-01-02 01:00:00,3.5,739.3,740.2,93.0,8.0,13.0,18.0,2.5,446.15,513.0800000000003,0.8695525064317451
2015-01-02 02:00:00,4.1,739.3,740.2,95.0,10.0,11.0,17.0,3.4,454.12,513.0800000000003,0.8850861464099161
2015-01-02 03:00:00,4.1,740.0,740.9,83.0,8.0,13.0,19.0,1.5,450.07,513.0800000000003,0.8771926405238945
2015-01-02 04:00:00,4.1,740.2,741.1,82.0,8.0,12.0,19.0,1.2,438.38,513.0800000000003,0.8544086692133775
2015-01-02 05:00:00,4.1,740.6,741.4,79.0,8.0,12.0,17.0,0.7,424.29,513.0800000000003,0.8269470647852183
2015-01-02 06:00:00,4.0,740.8,741.7,78.0,4.0,9.0,16.0,0.5,416.68,513.0800000000003,0.8121150697746936
2015-01-02 07:00:00,3.9,741.0,741.9,82.0,4.0,7.0,19.0,1.0,397.24,513.0800000000003,0.7742262415217895
2015-01-02 08:00:00,4.0,740.9,741.8,83.0,4.0,6.0,12.0,1.4,380.28,513.0800000000003,0.7411709674904494
2015-01-02 09:00:00,3.6,740.8,741.6,95.0,3.0,6.0,14.0,2.8,356.87,513.0800000000003,0.6955445544554452
2015-01-02 10:00:00,4.6,740.8,741.6,90.0,4.0,11.0,18.0,3.1,288.03,513.0800000000003,0.5613744445310669
2015-01-02 11:00:00,4.5,741.1,742.0,89.0,4.0,9.0,19.0,2.9,240.29,513.0800000000003,0.4683285257659622
2015-01-02 12:00:00,4.6,741.4,742.3,93.0,8.0,11.0,21.0,3.6,246.43,513.0800000000003,0.48029547049193083
2015-01-02 13:00:00,4.7,741.8,742.7,95.0,6.0,13.0,21.0,3.9,239.79,513.0800000000003,0.46735401886645334
2015-01-02 14:00:00,4.8,742.6,743.5,95.0,10.0,12.0,18.0,4.1,264.94,513.0800000000003,0.5163717159117484
